ablation,variant,model,f1,precision,recall,false_positive_rate,roc_auc,pr_auc,train_rows,eval_rows,note,experiment_id,seconds,n_features,dropped,alerts,comparisons,alert_rate,mean_effect_size,history_rows,threshold,f1_gain,f1_recovery_pct,target_fpr,achieved_fpr
split_mode,temporal,logistic_regression,0.8392117838132164,0.7845257319384961,0.9020929622378752,0.060042845823510424,0.96301948030869,0.8264308828906689,1270025.0,508002.0,"trained on the earliest 50%, evaluated on the latest 20%",20260925T205657Z_ablation_unsw_nb15_d6d364,11.03,,,,,,,,,,,,
split_mode,random,logistic_regression,0.8030290920716112,0.7038693256118065,0.9347091292483255,0.05718750140922558,0.9738585477807216,0.7797677744692458,1270023.0,508002.0,"same rows, shuffled first; evaluates on contemporaneous traffic",20260925T205657Z_ablation_unsw_nb15_d6d364,11.03,,,,,,,,,,,,
feature_policy,not_applicable,logistic_regression,0.8392117838132164,0.7845257319384961,0.9020929622378752,0.060042845823510424,0.96301948030869,0.8264308828906689,,,"the common schema already excludes every payload-derived field (trans_depth, response_body_len, is_ftp_login, ct_ftp_cmd, ct_flw_http_mthd), so the metadata-only policy is already in force and there is no richer arm to compare against; the numbers reported here are the metadata-only detector",20260925T205657Z_ablation_unsw_nb15_d6d364,5.07,16.0,[],,,,,,,,,,
drift_threshold,ks_alpha_0.001,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,ks_alpha_0.01,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,ks_alpha_0.05,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,psi_0.10,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,180.0,256.0,0.703125,1.02571533203125,,,,,,
drift_threshold,psi_0.20,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,psi_0.50,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,168.0,256.0,0.65625,1.02571533203125,,,,,,
drift_threshold,wasserstein_0.05,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,177.0,256.0,0.69140625,1.02571533203125,,,,,,
drift_threshold,wasserstein_0.10,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,wasserstein_0.25,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,158.0,256.0,0.6171875,1.02571533203125,,,,,,
drift_threshold,cusum_far_0.01,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,cusum_far_0.05,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,172.0,256.0,0.671875,1.02571533203125,,,,,,
drift_threshold,cusum_far_0.20,logistic_regression,,,,,,,,,,20260925T205657Z_ablation_unsw_nb15_d6d364,301.65,,,173.0,256.0,0.67578125,1.02571533203125,,,,,,
adaptation_window,none,logistic_regression,0.8392117838132164,,0.9020929622378752,0.060042845823510424,,,,,unadapted forward performance,20260925T205657Z_ablation_unsw_nb15_d6d364,34.13,,,,,,,,,,,,
