window_start,window_end,feature,method,statistic,threshold,alert,p_value,effect_size,n_reference,n_window
2016-08-08 00:26:09,2016-08-08 12:26:09,flow_duration,ks,0.142782,0.003228,True,0.0,0.142782,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,flow_duration,wasserstein,3.01057,0.1,True,,1.625578,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,flow_duration,psi,0.087864,0.2,False,,0.087864,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,flow_duration,cusum,1.685752,8.56461,False,,0.133385,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_packets,ks,0.046889,0.003228,True,0.0,0.046889,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_packets,wasserstein,5.479469,0.1,True,,0.782781,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_packets,psi,0.034881,0.2,False,,0.034881,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_packets,cusum,0.0,8.56461,False,,0.000371,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_bytes,ks,0.053349,0.003228,True,0.0,0.053349,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_bytes,wasserstein,6227.053295,0.1,True,,6.010669,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_bytes,psi,0.05297,0.2,False,,0.05297,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,total_bytes,cusum,0.0,8.56461,False,,0.000514,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,packet_rate,ks,0.074326,0.003228,True,0.0,0.074326,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,packet_rate,wasserstein,12.653409,0.1,True,,1.057825,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,packet_rate,psi,0.019862,0.2,False,,0.019862,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,packet_rate,cusum,0.0,8.56461,False,,0.060897,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,byte_rate,ks,0.074287,0.003228,True,0.0,0.074287,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,byte_rate,wasserstein,14608.659013,0.1,True,,10.670673,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,byte_rate,psi,0.017323,0.2,False,,0.017323,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,byte_rate,cusum,0.0,8.56461,False,,0.055861,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,mean_packet_size,ks,0.084596,0.003228,True,0.0,0.084596,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,mean_packet_size,wasserstein,23.327056,0.1,True,,0.242485,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,mean_packet_size,psi,0.087779,0.2,False,,0.087779,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,mean_packet_size,cusum,0.0,8.56461,False,,0.004221,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,bytes_per_packet,ks,0.084596,0.003228,True,0.0,0.084596,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,bytes_per_packet,wasserstein,23.327056,0.1,True,,0.242485,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,bytes_per_packet,psi,0.087779,0.2,False,,0.087779,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,bytes_per_packet,cusum,0.0,8.56461,False,,0.004221,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,duration_log1p,ks,0.142782,0.003228,True,0.0,0.142782,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,duration_log1p,wasserstein,0.294841,0.1,True,,0.281331,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,duration_log1p,psi,0.087864,0.2,False,,0.087864,4409934,269693
2016-08-08 00:26:09,2016-08-08 12:26:09,duration_log1p,cusum,1.396553,8.56461,False,,0.300675,4409934,269693
2016-08-14 12:26:09,2016-08-15 00:26:09,flow_duration,ks,0.086581,0.001717,True,0.0,0.086581,4409934,1127953
